"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"VIN,ZSIG,VUSB";"PinSocket_1x01_P2.54mm_Vertical";3;"PinSocket_1x01_P2.54mm_Vertical";;;
2;"S2";"PVA1EEH212NV2";1;"SET";;;
3;"R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"5.1K";;;
4;"C6,C7";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";2;"22pF";;;
5;"U3";"TQFP-48_7x7mm";1;"ATSAMD21G18A-AUT";;;
6;"C3,C1,C2,C5";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";4;"100nF";;;
7;"C12,C10";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";2;"1uF";;;
8;"J2";"CON_530480410_MOL";1;"530480410";;;
9;"C8";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";1;"1pF";;;
10;"S4";"PVA1EEH212NV2";1;"ZERO";;;
11;"J6";"PinSocket_1x04_P2.54mm_Vertical";1;"Program";;;
12;"C11,C9";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";2;"10uF";;;
13;"J13";"HRS_FH34SRJ-16S-0.5SH_50_";1;"FH34SRJ-16S-0.5SH_50_";;;
14;"J12,J11,J7";"PinSocket_1x04_P2.54mm_Vertical";3;"Serial2";;;
15;"D1,D2";"D_1812_4532Metric_Pad1.30x3.40mm_HandSolder";2;"D_Schottky";;;
16;"D3,D4";"LED_D5.0mm";2;"LED";;;
17;"R8,R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"65";;;
18;"R2,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"5K1";;;
19;"REF**,REF**";"PinSocket_1x03_P2.54mm_Vertical";2;"PinSocket_1x03_P2.54mm_Vertical";;;
20;"S3";"PVA1EEH212NV2";1;"SOFT";;;
21;"J8";"PinSocket_1x05_P2.54mm_Vertical";1;"Analog2";;;
22;"J9,J10";"PinSocket_1x04_P2.54mm_Vertical";2;"~";;;
23;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768, 12.5pF";;;
24;"REF**";"PinSocket_1x02_P2.54mm_Vertical";1;"PinSocket_1x02_P2.54mm_Vertical";;;
25;"U2";"TSOT-23-5_HandSoldering";1;"ADR02AUJZ-REEL7";;;
26;"S1";"PVA1EEH212NV2";1;"RESET";;;
27;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"Serial";;;
28;"R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"3K3";;;
29;"J3";"CONN16_USB4085-GF-A_GCT";1;"USB4085-GF-A_REVB";;;
30;"R7";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"680K";;;
31;"IC1";"DIP794W56P254L1918H457Q16N";1;"MAX3323EEPE+";;;
32;"C4";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";1;"0.33uF";;;
33;"";"";1;"";;;
34;"U1";"TO-252-3_TabPin2";1;"BD433M5FP-CE2";;;
35;"R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"4K7";;;
36;"J5";"PinSocket_1x05_P2.54mm_Vertical";1;"Analog";;;
37;"J1";"CON_530480510_MOL";1;"530480510";;;
